unit,citizen,sex,age,decision,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,AT	1705 	1400 	1060 	1325 	1240 	1180 	2050 	1740 	835 	2985 	4195 	: 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,BE	315 	165 	195 	425 	295 	370 	440 	395 	320 	290 	475 	: 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,BG	0 	0 	0 	0 	0 	0 	5 	0 	0 	5 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,CH	170 	115 	70 	35 	50 	50 	45 	70 	95 	115 	170 	: 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,CY	10 	25 	25 	20 	5 	10 	10 	45 	25 	15 	5 	: 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,CZ	10 	0 	5 	115 	0 	0 	5 	0 	0 	0 	5 	: 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,DE	1625 	1410 	1220 	1680 	2110 	2960 	4330 	5170 	8515 	30590 	19980 	: 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,DK	110 	65 	130 	220 	230 	265 	160 	210 	205 	245 	200 	: 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,EE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,EL	345 	30 	35 	195 	185 	325 	805 	1355 	770 	510 	175 	: 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,ES	20 	25 	15 	0 	10 	15 	0 	5 	15 	10 	45 	10 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,EU27_2020	9975 	7920 	7635 	9775 	9590 	11075 	13290 	14080 	17485 	43420 	35550 	3075 d
PER,EXT_EU27_2020,T,TOTAL,GENCONV,EU28	14145 	14135 	13650 	13790 	13510 	14845 	15990 	18110 	23660 	49590 	43060 	12300 d
PER,EXT_EU27_2020,T,TOTAL,GENCONV,FI	0 	5 	5 	20 	90 	50 	75 	50 	185 	535 	930 	: 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,FR	5190 	4040 	4245 	4930 	4290 	4270 	4245 	3830 	4510 	5400 	6015 	: 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,HR	: 	: 	: 	: 	20 	0 	0 	0 	0 	20 	15 	: 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,HU	0 	5 	10 	5 	20 	25 	20 	25 	5 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,IE	285 	260 	130 	75 	45 	55 	90 	180 	205 	30 	185 	: 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,IS	0 	0 	0 	0 	0 	5 	0 	15 	5 	40 	30 	: 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,IT	0 	45 	70 	65 	45 	5 	10 	0 	385 	385 	825 	895 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,LI	0 	0 	0 	0 	15 	0 	0 	0 	0 	0 	0 	0 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,LT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	: 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,LU	55 	20 	30 	40 	5 	0 	5 	15 	5 	0 	5 	0 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,LV	0 	5 	0 	5 	5 	5 	0 	0 	0 	5 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,MT	0 	0 	0 	0 	10 	0 	10 	30 	25 	25 	10 	: 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,NL	75 	45 	90 	120 	70 	450 	260 	255 	340 	480 	400 	350 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,NO	35 	45 	165 	290 	285 	345 	240 	200 	130 	145 	110 	80 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,PL	5 	0 	0 	5 	20 	5 	5 	10 	20 	0 	20 	5 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,PT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,RO	15 	65 	85 	75 	160 	390 	5 	10 	5 	5 	15 	: 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,SE	210 	310 	285 	455 	725 	685 	750 	745 	1120 	1890 	2045 	1820 
PER,EXT_EU27_2020,T,TOTAL,GENCONV,SI	0 	0 	0 	0 	0 	0 	0 	5 	5 	0 	0 	: 
